Restaurant Name,Rating,Reviews,Cuisine,Address,City,Restaurant URL,Image URL
Mutuswami,4.1,4727.0,"South Indian, Sandwich, Pizza","Plot 03, Dadar East, Mumbai",mumbai,/mumbai/mutuswami-dadar-east/info,https://b.zmtcdn.com/data/pictures/3/19936483/107bf2fa976aeac601dd74ac1499d25f_featured_v2.jpg
ilili,4.5,2999.0,"Middle Eastern, Continental, Italian","8th Floor, Dadar East, Mumbai",mumbai,/mumbai/ilili-dadar-east/info,https://b.zmtcdn.com/data/pictures/8/21195108/b221fc22333a78290d247413b0969e91_featured_v2.jpg
Fish Curry Rice,4.4,1977.0,"Maharashtrian, Goan, Seafood","Shop 3, Fist Floor, Kohinoor Square, NC Kelkar Marg, Dadar Shivaji Park, Mumbai",mumbai,/mumbai/fish-curry-rice-dadar-shivaji-park/info,https://b.zmtcdn.com/data/pictures/chains/3/19988483/19cc5a016bba7f9bf8e5fa55e32db908_featured_v2.jpg
Poie & Pao,4.4,4049.0,"Street Food, Goan","Shop 1, Mili Building, Ward G/N, T.H. Kataria Road, Matunga West, Mumbai",mumbai,/mumbai/poie-pao-matunga-west/info,https://b.zmtcdn.com/data/pictures/8/20558128/c051caf4a4d85bfbe67ca930a5a94365_o2_featured_v2.jpg
Mogo,4.2,930.0,"Korean, Asian, Coffee","96, Jahangir Baug, Swatantryaveer Savarkar Road, Mahim, Mumbai",mumbai,/mumbai/mogo-mahim/info,https://b.zmtcdn.com/data/pictures/2/21548972/f3c04d7ce174ebc7154817739bf1a87e_featured_v2.jpg
Harajuku Tokyo Cafe,4.2,2159.0,"Seafood, Beverages, Asian","2nd Floor, Bandra Kurla Complex, Jio World Drive, Bandra East, Mumbai",mumbai,/mumbai/harajuku-tokyo-cafe-bandra-east/info,https://b.zmtcdn.com/data/pictures/1/22234881/a247508cf15f8a1cbb9c2ee245bf53ec_featured_v2.jpg
Brunch & Cake,4.3,725.0,"Desserts, Mediterranean, Bakery","G-04, Ground Floor, Raheja Altimus, Pandurang Budhkar Marg, Worli, Mumbai",mumbai,/mumbai/brunch-cake-worli/info,https://b.zmtcdn.com/data/pictures/2/21376072/a699c3592cb9b71f7a5434e471ce2a9f_featured_v2.jpg
Demy,4.0,5008.0,"North Indian, Pizza, Asian","Ground Floor, Trade Centre, Kamala Mills Compound, A Wing, Lower Parel, Mumbai",mumbai,/mumbai/demy-lower-parel/info,https://b.zmtcdn.com/data/pictures/4/20477454/d6ee161b042787e2809726a59c2e0e0a_featured_v2.jpg
Epitome - Global Dining & Bar,4.1,1564.0,"Italian, North Indian, Asian","Mathuradas Mill Compound, N.M. Joshi Marg, Lower Parel, Mumbai",mumbai,/mumbai/epitome-global-dining-bar-lower-parel/info,https://b.zmtcdn.com/data/pictures/6/19363966/c84746a3a988f1b07a958b84e81069ac_featured_v2.jpg
As Is Cafe,3.9,8.0,"Cafe, Beverages, Coffee","6, 74, Ritherdon Road, Vepery, Chennai",chennai,/chennai/as-is-cafe-vepery/info,https://b.zmtcdn.com/data/pictures/9/22703789/ff2a3d48-ff2d-41f4-94d1-0577acdaaf91_o2_featured_v2.jpg
