Restaurant Name,Rating,Reviews,Cuisine,Address,City,Restaurant URL,Image URL
Tambo,4.4,1019.0,"Modern Indian, South American","49-C, Door 8-2-293/82/A/49/B & C, Plot 49-B, Circle 18, Hakimpet, Road 9/A, Jubilee Hills, Hyderabad",Hyderabad,/hyderabad/tambo-jubilee-hills/info,https://b.zmtcdn.com/data/pictures/9/22424909/e29cb67b3797c86cf50467165be33e65_o2_featured_v2.jpg
Marquee - Where Night Begins,4.3,2865.0,Indian,"2-37/9 to 11 and 16 to 18, 4th and 5th Floor, Time Square Building, Vinayak Nagar, Indira Nagar, Gachibowli, Hyderabad",Hyderabad,/hyderabad/marquee-where-night-begins-gachibowli/info,https://b.zmtcdn.com/data/pictures/9/22368779/6a6054f85ca205188f3f73be71345aa9_o2_featured_v2.jpg
Summer Bistro,4.1,1768.0,"Cafe, Italian, Mexican","Metro Pillar 1552, Women's Welfare Housing Society, Road 5, Jubilee Hills, Hyderabad",Hyderabad,/hyderabad/summer-bistro-jubilee-hills/info,https://b.zmtcdn.com/data/pictures/9/21962609/8fb3c84f6912d7fb7e8860c76d58abd5_featured_v2.jpg
Mindspace Social,4.3,8835.0,"Chinese, Mexican, Fusion","Survey 64, Ground Plus Level, Hitech City, Hyderabad",Hyderabad,/hyderabad/mindspace-social-hitech-city/info,https://b.zmtcdn.com/data/pictures/8/20954918/b8dbaa51243dac911c52627dac64568d_o2_featured_v2.jpg
Urban Nemo Cafe in Garden,4.2,1247.0,"Mexican, Continental","104, Park View Enclave, Jubilee Hills, Hyderabad",Hyderabad,/hyderabad/urban-nemo-cafe-in-garden-jubilee-hills/info,https://b.zmtcdn.com/data/pictures/6/21464276/1ac4d6d8b4d5476431921494f64a0908_featured_v2.jpg
AnTeRa Kitchen And Bar,4.2,17.0,"South Indian, North Indian, Biryani","H 1-72/3/6/28/A Grounf & 1St Floor, Konstruct Building 1, Mindspace Rd, P Janardhan Reddy Nagar, Serlingampally Circle 20, Gachibowli, Hyderabad",Hyderabad,/hyderabad/antera-kitchen-and-bar-gachibowli/info,https://b.zmtcdn.com/data/pictures/7/20892247/3734149d077a7cc8e141f34f6acbb30e_featured_v2.jpg
Vibeyard,4.2,2344.0,"Italian, Continental, Chinese","Plot B-22, Road 8, Film Nagar, Jubilee Hills, Hyderabad",Hyderabad,/hyderabad/vibeyard-jubilee-hills/info,https://b.zmtcdn.com/data/pictures/4/20653804/ff359179ce39e0b3f8f369871ed07f3c_featured_v2.jpg
Tansen,4.6,691.0,"North Indian, Seafood","332 & 333, Prestige Skytech, Puppalaguda, Gandipeta, Financial District, Nanakramguda, Hyderabad",Hyderabad,/hyderabad/tansen-2-nanakramguda/info,https://b.zmtcdn.com/data/pictures/4/21928244/fb03ce37d76743022fcee10f41675c14_featured_v2.jpg
Osaka,4.5,1403.0,"Asian, Japanese, Sushi","House 8-2-293/82/A/116/A/1, Circle 18, Shaikpet, Road 10, Jubilee Hills, Hyderabad",Hyderabad,/hyderabad/osaka-jubilee-hills/info,https://b.zmtcdn.com/data/pictures/4/21288214/93249606157d5322e354c47bbda9610f_featured_v2.jpg
Prost,4.4,7709.0,"Continental, Pasta, Fast Food","Plot 1026, Near Quadro Living, CBI Colony, Cable Bridge Road, Jubilee Hills, Hyderabad",Hyderabad,/hyderabad/prost-jubilee-hills/info,https://b.zmtcdn.com/data/pictures/9/18356469/1a812913b81e1057a40d8dfad681c42e_featured_v2.jpg
Naivedyam Veg Cafe,4.234118852459017,1991.6997950819673,"North Indian, Chinese, Desserts","Rooftop G.N Heights 6-1-344-1, Boiguda Road, Walker Town, Padmarao Nagar, Secunderabad",Hyderabad,/hyderabad/naivedyam-veg-cafe-padmarao-nagar-secunderabad/info,https://b.zmtcdn.com/data/pictures/7/22859117/646d1f8c-f18b-433b-87b0-e50837214ab0_o2_featured_v2.png
Chili's Grill and Bar,4.3,17.0,"Burger, Mexican, American","F 48, 1st Floor, Inorbit Mall, Hitech City, Hyderabad",Hyderabad,/hyderabad/chilis-grill-and-bar-hitech-city/info,https://b.zmtcdn.com/data/pictures/chains/7/90847/32725e476cca751144d2ec69c693a394_featured_v2.jpg
Stellar Reserve,4.6,1655.0,"Cafe, Italian, Asian","Unit 4, Sy 102/1, Plot 1355-h & 1355-i, Ground Floor & Mezzanine Floor, Niharika Jubilee One, Shaikpet, Jubilee Hills, Hyderabad",Hyderabad,/hyderabad/stellar-reserve-jubilee-hills/info,https://b.zmtcdn.com/data/pictures/6/21564326/9502d644e80fc430ae575e56ab0ef3b8_featured_v2.jpg
Native Bar & Kitchen,4.1,816.0,Indian,"251/8, E/1, Kingdome Klub Road, Financial District, Hyderabad",Hyderabad,/hyderabad/native-bar-kitchen-financial-district/info,https://b.zmtcdn.com/images/res_avatar_476_320_1x_new.png
Lunar Cafe,4.3,411.0,"Italian, North Indian, Continental","Madhu Vihar, Rd Number 7, Durga Bhavani Nagar, Women's Welfare Housing Society, Jubilee Hills, Hyderabad",Hyderabad,/hyderabad/lunar-cafe-jubilee-hills/info,https://b.zmtcdn.com/images/res_avatar_476_320_1x_new.png
